ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
100323185,The Hipster @ Taman Desa,2022.0,RM 4 200 per month,Kuala Lumpur - Taman Desa,Condominium,5,2.0,6.0,1842 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine"
100203973,Segar Courts,,RM 2 300 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1170 sq.ft.,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT"
100323128,Pangsapuri Teratak Muhibbah 2,,RM 1 000 per month,Kuala Lumpur - Taman Desa,Apartment,3,,2.0,650 sq.ft.,Fully Furnished,"Minimart, Jogging Track, Lift, Swimming Pool",
100191767,Sentul Point Suite Apartment,2020.0,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,2,1.0,2.0,743 sq.ft.,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine"
97022692,Arte Mont Kiara,,RM 1 299 per month,Kuala Lumpur - Mont Kiara,Service Residence,1,1.0,1.0,494 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond
100322897,Residensi Vista Wirajaya,,RM 1 500 per month,Kuala Lumpur - Setapak,Apartment,3,1.0,2.0,884 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT"
100322962,Sky Meridien,,RM 2 900 per month,Kuala Lumpur - Sentul,Service Residence,3,2.0,2.0,982 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100322885,Arte Plus Jalan Ampang,2018.0,RM 1 550 per month,Kuala Lumpur - Ampang,Service Residence,1,1.0,1.0,700 sq.ft.,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100322866,Nova I,2014.0,RM 1 400 per month,Kuala Lumpur - Segambut,Apartment,2,1.0,1.0,750 sq.ft.,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
100322863,Sofiya Residences,,RM 1 350 per month,Kuala Lumpur - Desa ParkCity,Condominium,3,1.0,2.0,862 sq.ft.,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT"
100322813,The Park Sky Residence @ Bukit Jalil City,2019.0,RM 2 600 per month,Kuala Lumpur - Bukit Jalil,Service Residence,2,,2.0,868 sq.ft.,Partially Furnished,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT"
100322809,PV9 Residences @ Taman Melati,2022.0,RM 2 000 per month,Kuala Lumpur - Setapak,Service Residence,4,2.0,2.0,1100 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100322802,Arte Plus Jalan Ampang,2018.0,RM 1 500 per month,Kuala Lumpur - Ampang,Service Residence,1,1.0,1.0,700 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
87950203,Maxim Citilights,2017.0,RM 1 300 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,1009 sq.ft.,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine"
100239196,Greenview Apartments,,RM 1 000 per month,Kuala Lumpur - Kepong,Apartment,5,,2.0,855 sq.ft.,Partially Furnished,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Internet"
100322320,Legasi Kampong Bharu,2020.0,RM 3 200 per month,Kuala Lumpur - KL City,Apartment,3,1.0,2.0,950 sq.ft.,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100322311,Legasi Kampong Bharu,2020.0,RM 3 200 per month,Kuala Lumpur - KL City,Apartment,3,1.0,2.0,950 sq.ft.,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
