completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
,Maju,Condominium,2.0,1.0,1.0,800,Fully Furnished,yes
1993.0,Bangsar,Condominium,2.0,1.0,1.0,890,Fully Furnished,yes
,Jalil,Condominium,1.0,,1.0,1200,Fully Furnished,yes
,Cheras,Condominium,3.0,2.0,2.0,893,Fully Furnished,no
,Pudu,Apartment,3.0,,2.0,980,Partially Furnished,yes
2021.0,Kepong,Apartment,1.0,,1.0,100,Fully Furnished,yes
,Pandan,Apartment,3.0,1.0,2.0,900,Fully Furnished,
,Cheras,Apartment,3.0,1.0,2.0,850,Partially Furnished,
,Jalil,Apartment,3.0,,2.0,800,Fully Furnished,
,Cheras,Flat,3.0,,1.0,700,Not Furnished,
,Cheras,Condominium,4.0,2.0,4.0,1933,Fully Furnished,yes
2020.0,Jalil,Condominium,3.0,,3.0,1300,Fully Furnished,
1997.0,Desa,Service Residence,3.0,1.0,2.0,945,Partially Furnished,no
2022.0,Setapak,Service Residence,3.0,,2.0,1000,Not Furnished,
2018.0,Melawati,Service Residence,2.0,1.0,2.0,850,Fully Furnished,no
2011.0,KLCC,Condominium,4.0,2.0,3.0,1200,Fully Furnished,no
1999.0,Cheras,Condominium,3.0,,2.0,920,Partially Furnished,yes
,Cheras,Condominium,3.0,1.0,2.0,806,Fully Furnished,no
,Kepong,Apartment,3.0,,2.0,980,Partially Furnished,
2015.0,Ampang,Service Residence,3.0,,3.0,1410,Partially Furnished,no
2019.0,Jalil,Service Residence,2.0,,2.0,868,Partially Furnished,yes
2009.0,Dutamas,Condominium,2.0,1.0,1.0,600,Fully Furnished,yes
2013.0,Cheras,Service Residence,4.0,1.0,2.0,1200,Partially Furnished,yes
2005.0,Cheras,Condominium,3.0,1.0,2.0,1000,Partially Furnished,yes
2015.0,Besi,Condominium,3.0,,2.0,1085,Partially Furnished,
2019.0,Jalil,Service Residence,2.0,1.0,2.0,953,Fully Furnished,yes
2017.0,Road,Service Residence,3.0,,2.0,900,Partially Furnished,yes
,Ipoh,Apartment,3.0,,2.0,850,Not Furnished,no
2010.0,Cheras,Condominium,3.0,1.0,2.0,900,Fully Furnished,no
,Kuching,Service Residence,3.0,1.0,2.0,879,Partially Furnished,no
2010.0,Melawati,Condominium,2.0,2.0,2.0,1206,Fully Furnished,
2004.0,Kuching,Condominium,3.0,,2.0,1100,Fully Furnished,no
2020.0,Sentul,Apartment,3.0,1.0,2.0,904,Partially Furnished,yes
,Jalil,Condominium,3.0,2.0,2.0,1800,Fully Furnished,yes
,Setapak,Condominium,3.0,2.0,2.0,928,Fully Furnished,
,Kuching,Service Residence,3.0,1.0,2.0,879,Partially Furnished,
2011.0,KLCC,Condominium,2.0,1.0,2.0,776,Fully Furnished,yes
2019.0,Besi,Condominium,3.0,1.0,2.0,839,Fully Furnished,yes
2021.0,Kepong,Service Residence,2.0,1.0,2.0,1132,Partially Furnished,no
2019.0,KLCC,Service Residence,2.0,2.0,2.0,871,Fully Furnished,
2022.0,Desa,Condominium,3.0,2.0,2.0,921,Partially Furnished,no
2017.0,Road,Condominium,3.0,2.0,2.0,909,Fully Furnished,
2020.0,Sentul,Condominium,3.0,1.0,2.0,900,Partially Furnished,yes
,Segambut,Service Residence,2.0,,2.0,903,Partially Furnished,
2018.0,Melawati,Service Residence,3.0,2.0,2.0,1099,Fully Furnished,no
,OUG,Service Residence,3.0,1.0,2.0,950,Partially Furnished,no
,Setapak,Apartment,3.0,1.0,2.0,850,Partially Furnished,yes
2019.0,Maju,Condominium,2.0,2.0,2.0,1033,Fully Furnished,
