feature,importance_value
size_sqft,0.2275947981489391
furnished_Fully Furnished,0.10672173522507589
completion_year,0.07359751849888838
bathroom,0.05969851617138195
rooms,0.04628461329022292
parking,0.045606065219966026
location_Kiara,0.04296207046777349
furnished_Not Furnished,0.04032018643734604
location_KLCC,0.03728668629508211
furnished_Partially Furnished,0.03613727081231164
property_type_Apartment,0.03486503955415021
property_type_Service Residence,0.030954035874161165
property_type_Condominium,0.01688817629576649
location_Keramat,0.015871653225596142
location_City,0.014152399209852664
location_Cheras,0.012610611371529063
location_Jalil,0.009393271848606697
property_type_Flat,0.009240345776450597
location_Bintang,0.009083143184340843
location_Kepong,0.008740548589375223
nearby_railways_no,0.008466460108755595
nearby_railways_yes,0.008441397187337444
location_Setapak,0.008174723125791783
location_Sentul,0.007577116238789609
location_Ampang,0.007272355483388928
location_South,0.006601493081198261
location_Bangsar,0.005870547474110496
location_Maju,0.005182142394877148
location_Road,0.004847318915145108
location_Pantai,0.004333949574417457
location_Dutamas,0.0038853946474956998
location_Segambut,0.0038475810507156306
location_Desa,0.00330115435080926
location_OUG,0.0031856707650999017
location_Ismail,0.0031358157738776834
location_Besi,0.002931465826413177
location_ParkCity,0.0028497376002187126
location_Pandan,0.0028345635683858597
location_Ipoh,0.0026790737031618514
location_Damansara,0.002558887586791517
location_Kuching,0.002518306383639787
location_Petaling,0.0023165343187522493
location_Lama,0.00230383951882406
location_Titiwangsa,0.002239314163615483
location_Hilir,0.002171894835438268
location_Setiawangsa,0.0016759382909572564
location_Hartamas,0.001252095311139259
location_Melawati,0.0011738682688864808
property_type_Studio,0.001078294028119385
location_Brickfields,0.0009680025482270047
property_type_Others,0.0008776067289391472
location_Seputeh,0.0008113314571925789
location_Perdana,0.0007830866008146516
location_Menjalara,0.0007700836519749955
location_Centre,0.0006770565654602941
location_Puchong,0.0004653370279878271
location_Pudu,0.0004304174928223837
location_Heights,0.00040975466477109323
location_Gombak,0.0003777125214620034
property_type_Duplex,0.0003128725231048791
location_Indah,0.00022833777197640495
location_Selatan,0.0001520895203550892
location_Jaya,8.459574054944232e-05
