Wilayah,Propinsi,UN SMP,UN SMA IPA,UN SMA IPS,Tahun
Prov. D.K.I. Jakarta,D.K.I. Jakarta,73.96,72.99,66.05,2015
Kab. Kepulauan Seribu,D.K.I. Jakarta,62.8,0.0,0.0,2015
Kota Jakarta Pusat,D.K.I. Jakarta,74.02,72.82,63.99,2015
Kota Jakarta Utara,D.K.I. Jakarta,71.22,69.54,63.31,2015
Kota Jakarta Barat,D.K.I. Jakarta,71.86,71.79,63.71,2015
Kota Jakarta Selatan,D.K.I. Jakarta,75.98,74.59,69.28,2015
Kota Jakarta Timur,D.K.I. Jakarta,75.2,73.71,67.2,2015
Prov. Jawa Barat,Jawa Barat,58.08,63.56,57.27,2015
Kab. Bogor,Jawa Barat,57.49,61.64,55.81,2015
Kab. Sukabumi,Jawa Barat,56.94,62.22,58.76,2015
Kab. Cianjur,Jawa Barat,63.83,58.23,51.27,2015
Kab. Bandung,Jawa Barat,57.86,60.66,55.91,2015
Kab. Sumedang,Jawa Barat,51.37,61.44,54.36,2015
Kab. Garut,Jawa Barat,56.17,65.04,59.73,2015
Kab. Tasikmalaya,Jawa Barat,57.7,65.63,58.11,2015
Kab. Ciamis,Jawa Barat,60.19,63.86,55.82,2015
Kab. Kuningan,Jawa Barat,57.14,57.59,54.62,2015
Kab. Majalengka,Jawa Barat,57.11,61.46,59.94,2015
Kab. Cirebon,Jawa Barat,55.64,59.45,55.69,2015
Kab. Indramayu,Jawa Barat,54.72,50.38,48.95,2015
Kab. Subang,Jawa Barat,49.5,59.06,52.13,2015
Kab. Purwakarta,Jawa Barat,55.1,61.08,50.39,2015
Kab. Karawang,Jawa Barat,59.14,45.16,44.0,2015
Kab. Bekasi,Jawa Barat,56.22,65.82,60.24,2015
Kab. Bandung Barat,Jawa Barat,57.67,59.52,56.14,2015
Kab. Pangandaran,Jawa Barat,55.33,53.17,49.09,2015
Kota Bandung,Jawa Barat,61.77,72.02,63.37,2015
Kota Bogor,Jawa Barat,64.57,73.15,65.67,2015
Kota Sukabumi,Jawa Barat,60.86,68.81,56.67,2015
Kota Cirebon,Jawa Barat,62.57,68.05,57.94,2015
Kota Bekasi,Jawa Barat,61.77,72.47,65.41,2015
Kota Depok,Jawa Barat,60.42,66.42,57.9,2015
Kota Cimahi,Jawa Barat,62.17,71.49,60.17,2015
Kota Tasikmalaya,Jawa Barat,64.81,73.46,65.36,2015
Kota Banjar,Jawa Barat,56.51,65.78,59.51,2015
Prov. Jawa Tengah,Jawa Tengah,56.87,60.53,57.59,2015
Kab. Cilacap,Jawa Tengah,57.54,56.83,56.19,2015
Kab. Banyumas,Jawa Tengah,58.79,60.61,58.04,2015
Kab. Purbalingga,Jawa Tengah,58.69,60.03,56.44,2015
Kab. Banjarnegara,Jawa Tengah,55.22,59.38,55.24,2015
Kab. Kebumen,Jawa Tengah,60.92,59.03,56.82,2015
Kab. Purworejo,Jawa Tengah,61.7,62.05,59.05,2015
Kab. Wonosobo,Jawa Tengah,59.23,57.65,57.18,2015
Kab. Magelang,Jawa Tengah,61.75,60.07,57.2,2015
Kab. Boyolali,Jawa Tengah,56.23,56.02,54.43,2015
Kab. Klaten,Jawa Tengah,58.39,62.5,59.54,2015
Kab. Sukoharjo,Jawa Tengah,59.5,61.04,62.55,2015
Kab. Wonogiri,Jawa Tengah,59.78,61.12,57.51,2015
Kab. Karanganyar,Jawa Tengah,58.83,58.74,56.32,2015
Kab. Sragen,Jawa Tengah,54.8,54.46,50.39,2015
Kab. Grobogan,Jawa Tengah,51.5,57.38,53.15,2015
Kab. Blora,Jawa Tengah,53.42,52.83,51.9,2015
Kab. Rembang,Jawa Tengah,56.93,57.64,52.87,2015
Kab. Pati,Jawa Tengah,60.42,60.23,56.2,2015
Kab. Kudus,Jawa Tengah,59.44,64.11,60.01,2015
Kab. Jepara,Jawa Tengah,54.65,61.15,57.71,2015
Kab. Demak,Jawa Tengah,50.47,62.87,58.87,2015
Kab. Semarang,Jawa Tengah,58.34,58.4,58.67,2015
Kab. Temanggung,Jawa Tengah,60.34,58.46,59.76,2015
Kab. Kendal,Jawa Tengah,52.96,59.49,57.59,2015
Kab. Batang,Jawa Tengah,53.79,60.85,59.65,2015
Kab. Pekalongan,Jawa Tengah,55.79,60.27,59.32,2015
Kab. Pemalang,Jawa Tengah,51.31,57.71,55.58,2015
Kab. Tegal,Jawa Tengah,51.99,60.26,58.91,2015
Kab. Brebes,Jawa Tengah,49.43,54.14,52.8,2015
Kota Magelang,Jawa Tengah,70.23,66.35,63.31,2015
Kota Surakarta,Jawa Tengah,65.74,68.26,61.85,2015
Kota Salatiga,Jawa Tengah,67.99,65.3,66.64,2015
Kota Semarang,Jawa Tengah,62.03,66.28,60.61,2015
Kota Pekalongan,Jawa Tengah,59.26,68.3,63.15,2015
Kota Tegal,Jawa Tengah,57.67,62.48,63.21,2015
Prov. D.I. Yogyakarta,D.I. Yogyakarta,66.2,63.61,58.01,2015
Kab. Bantul,D.I. Yogyakarta,66.42,62.79,58.53,2015
Kab. Sleman,D.I. Yogyakarta,67.48,61.03,58.24,2015
Kab. Gunung Kidul,D.I. Yogyakarta,59.47,59.06,55.39,2015
Kab. Kulon Progo,D.I. Yogyakarta,65.21,59.61,55.78,2015
Kota Yogyakarta,D.I. Yogyakarta,72.48,67.42,59.58,2015
Prov. Jawa Timur,Jawa Timur,67.0,69.37,62.95,2015
Kab. Gresik,Jawa Timur,73.2,71.91,67.26,2015
Kab. Sidoarjo,Jawa Timur,71.16,73.77,66.48,2015
Kab. Mojokerto,Jawa Timur,65.98,70.79,61.89,2015
Kab. Jombang,Jawa Timur,67.4,66.41,60.19,2015
Kab. Bojonegoro,Jawa Timur,67.73,68.69,63.69,2015
Kab. Tuban,Jawa Timur,59.9,69.28,61.32,2015
Kab. Lamongan,Jawa Timur,73.23,66.78,61.16,2015
Kab. Madiun,Jawa Timur,61.97,70.8,67.58,2015
Kab. Ngawi,Jawa Timur,54.98,63.97,60.31,2015
Kab. Magetan,Jawa Timur,58.54,73.73,61.51,2015
Kab. Ponorogo,Jawa Timur,66.47,69.64,62.19,2015
Kab. Pacitan,Jawa Timur,59.93,69.41,58.85,2015
Kab. Kediri,Jawa Timur,63.29,62.89,59.33,2015
Kab. Nganjuk,Jawa Timur,59.7,66.89,59.33,2015
Kab. Blitar,Jawa Timur,66.22,68.04,65.24,2015
Kab. Tulungagung,Jawa Timur,72.1,73.99,66.59,2015
Kab. Trenggalek,Jawa Timur,56.58,69.16,58.6,2015
Kab. Malang,Jawa Timur,57.33,60.61,57.06,2015
Kab. Pasuruan,Jawa Timur,71.67,65.52,58.83,2015
Kab. Probolinggo,Jawa Timur,64.38,71.52,65.95,2015
Kab. Lumajang,Jawa Timur,71.67,71.93,66.43,2015
Kab. Bondowoso,Jawa Timur,68.27,72.35,61.3,2015
Kab. Situbondo,Jawa Timur,64.69,70.33,63.93,2015
Kab. Jember,Jawa Timur,61.42,70.56,62.26,2015
Kab. Banyuwangi,Jawa Timur,67.17,73.54,65.46,2015
Kab. Pamekasan,Jawa Timur,78.91,73.27,67.59,2015
Kab. Sampang,Jawa Timur,65.85,71.76,63.83,2015
Kab. Sumenep,Jawa Timur,76.69,72.33,66.44,2015
Kab. Bangkalan,Jawa Timur,74.73,72.16,64.52,2015
Kota Surabaya,Jawa Timur,71.36,65.78,57.59,2015
Kota Malang,Jawa Timur,64.91,67.93,60.16,2015
Kota Madiun,Jawa Timur,72.54,72.1,67.34,2015
Kota Kediri,Jawa Timur,71.25,70.82,66.52,2015
Kota Mojokerto,Jawa Timur,66.02,70.9,64.39,2015
Kota Blitar,Jawa Timur,76.79,70.03,67.0,2015
Kota Pasuruan,Jawa Timur,74.09,74.58,67.58,2015
Kota Probolinggo,Jawa Timur,79.67,73.35,67.22,2015
Kota Batu,Jawa Timur,59.67,60.35,59.34,2015
Prov. Aceh,Aceh,64.74,69.13,60.82,2015
Kab. Aceh Besar,Aceh,62.9,69.92,58.21,2015
Kab. Pidie,Aceh,66.4,73.83,66.42,2015
Kab. Aceh Utara,Aceh,59.37,63.98,53.54,2015
Kab. Aceh Timur,Aceh,67.3,65.47,58.32,2015
